,RawContent,Sentiment
0,"['necesitar', 'politico', 'movilidadhumán', 'asociado', 'cambioclimatico', 'problema', 'grave', 'espacio', 'tecnico', 'desconocer', 'semana', 'mesa', 'tecnico', 'gestion', 'riesgo', 'deptolar', 'guajira', 'tema', 'prioritario', 'cachacar', 'iii', 'twuliar', 'erosioncosterar']",0
1,"['traductorteamar', 'q', 'deci', 'pelotudo', 'cambio', 'climatico', 'cambio', 'clima', 'ultima', 'hora', 'rosario', 'cambio', 'q', 'suceder']",0
2,"['record', 'mes', 'febrero', 'casi', '3000', 'incendio', 'amazonia', 'brasileño', 'amazonia', 'brasileño', 'registrar', 'casi', '3000', 'incendio', 'febrero', 'record', 'mes', 'año', 'experto', 'relacionar', 'directamente', 'cambio', 'climatico', 'el', 'mundo']",0
3,"['meta', 'mas', '16', 'hectarea', 'bosque', 'talada', 'disidencia', 'farc', 'zona', 'rural', 'municipio', 'mapiripar', 'sembrar', 'cultivo', 'ilicito', 'segun', 'informo', 'ejercitar', '😱']",0
4,"['cambio', 'climatico', 'invento', 'agenda', 'globalista']",0
5,"['seguir', 'vacunar', 'él', 'segurisima', 'todo', 'vida', 'caido', 'mil', 'joven', 'victima', 'turbo', 'cancer', 'cambio', 'climatico', '😡']",0
6,"['chicoanton', 'aparecio', 'clamar', 'semillero', 'necesitar', 'elicoptero', 'apagar', 'incendio', 'ahi', 'motobombar', 'poder', 'acabar', 'incendio', 'provocado', 'semillero', 'querer', 'poner', 'agenda', '2030', 'hablar', 'cambio', 'climatico', 'existir']",0
7,"['cambio', 'climatico', 'deshielo', 'ay', 'ver']",0
8,"['armadaingenierir', 'poder', 'leer', 'articulo', '1978', 'ciencia', 'relacionar', 'cambio', 'climatico', 'co2', 'mismo', 'iampc', 'periodismo', 'tabloidir', 'anglosajon', 'si', 'querer', 'paso', 'pdf', 'trav', 'whatsapp', 'correo', 'electronico', 'mas', 'articu', 'él', 'similar']",0
9,"['aumento', 'historico', 'temperatura', 'limitar', 'impacto', 'descubrelo', 'articulo', 'unetir', 'accion', 'climatico', '🌍']",0
10,"['oocprogresismo2', 'jajaja', 'mms', 'despues', 'ir', 'enseñar', 'mejorario', 'vida', 'socialismo', 'tener', 'fortunar', 'ahi', 'mencionar', 'cambio', 'climatico', 'malo']",0
11,"['cabrowns', 'cambio', 'climatico', 'manera', 'transversal', 'tocar', 'afectar']",0
12,"['querido', 'vickydavilah', 'mio', 'ser', 'sincero', 'pai', 'si', 'subir', 'produccion', 'bajar', 'utilidad', 'culpa', 'empresa', 'sector', 'depreciacion', 'mercancia', 'intensivo', 'carbono', 'mercado', 'global', 'superar', 'dependencia', 'tarea']",0
13,"['opinadorprofes4', 'cambio', 'climatico', 'culpa', 'mas', 'hora', 'sol', 'centro', 'europa']",0
14,"['cada', 'epocar', 'idolo', 'tribu', 'promulgado', 'mandar', 'pro', 'domo', 'sua', 'servicio', 'autoridad', 'universidad', 'iglesia', 'etc', 'idolo', 'tribu', 'actual', 'peste', 'diluvio', 'renombrado', 'pandemiar', 'cambio', 'climatico', 'evolution']",0
